Scenario,Backend,Machine,p50_median,p50_q1,p50_q3,p50_std,p99_median,p99_q1,p99_q3,p99_std,MB/s_median,MB/s_q1,MB/s_q3,MB/s_std,trials,Readers,Writers
Size 1MB,MpQueue,amd_ryzen7_7700_nothp,0.9281590000682627,0.9001662501759711,0.9468665000440524,0.026913001121651098,1.045802254575392,1.0133490994985552,1.0519929076644987,0.034747763502498245,2402.009551194383,2383.472287798325,2446.436466666601,49.94643412371526,10,1,1
Size 1MB,MpPipe,amd_ryzen7_7700_nothp,0.25153124988719355,0.2508146242234943,0.2526372504689789,0.002067663636021113,0.6699284996284405,0.5723225639258099,0.67884660017171,0.12151958252745036,3809.802934705067,3776.948797653684,3838.552651896128,52.471201243035885,10,1,1
Size 1MB,MpShm,amd_ryzen7_7700_nothp,0.3050680006708717,0.30441674994108325,0.30557424997823546,0.0009309046441795609,0.3461135450288574,0.3205822249901758,0.4042170320826701,0.04614748601657593,3131.9123402381,3126.6971095955187,3152.8289398250354,15.563033308292557,10,1,1
Size 1MB,ZeroMQ,amd_ryzen7_7700_nothp,0.4098452495782112,0.4048036248605058,0.41112837493528787,0.004502880756275368,1.720804595215669,1.7135506176373383,1.754585946878251,0.20164195815612793,2268.9820145204376,2250.2431171248436,2315.406383611452,653.7212502128377,10,1,1
Size 1MB,PosixIpc,amd_ryzen7_7700_nothp,0.3205632506251277,0.3118804997939151,0.32183300027099904,0.0059622880035399015,0.33911090017682005,0.336389899543974,0.4818917933471318,0.20050476218642405,3164.732316394625,3129.4513929725167,3189.411476930195,70.25056462019883,10,1,1
Size 2MB,RsIpc_zerocopy,amd_ryzen7_7700_nothp,0.12441899980331073,0.12347687538749597,0.1263881254089938,0.0024743122375760758,0.13473465017341368,0.13286884279295919,0.14113367430127252,0.004751802451353674,17267.026724615884,17088.917103940057,17331.813241227814,262.6277111883862,10,1,1
Size 2MB,RsIpc_copy,amd_ryzen7_7700_nothp,0.6014487498759991,0.6008310001561767,0.603385124804845,0.001838004091571983,0.6137246491744008,0.6120717994917868,0.6165500224415155,0.005274678264730018,3323.124634055904,3314.403849261743,3333.8258511788245,10.652281535118552,10,1,1
Size 2MB,MpQueue,amd_ryzen7_7700_nothp,2.2544712492162944,2.214362624954447,2.267927125785718,0.03687103359134707,2.3615169895856516,2.333204960823422,2.3861819144167375,0.03499477155443687,1798.03398424625,1784.4176954249826,1829.0553770764184,30.52035805331181,10,1,1
Size 2MB,MpPipe,amd_ryzen7_7700_nothp,0.5050342497270321,0.5019507493670972,0.5073145002825186,0.0036752616204652035,0.5838015449262456,0.570441872059746,0.6463946497660794,0.2693044914447966,3857.9053687859555,3818.7504746147956,3880.4728696444663,50.6449240849639,10,1,1
Size 2MB,MpShm,amd_ryzen7_7700_nothp,0.5792662500425649,0.5780588742254622,0.5816102500375564,0.005715559077969972,0.5957898496308189,0.5911596070882297,0.5988193674738795,0.006995321853691179,3264.53012163614,3256.537065297143,3279.9887034175363,29.240908617665653,10,1,1
