Scenario,Backend,Machine,p50_median,p50_q1,p50_q3,p50_std,p99_median,p99_q1,p99_q3,p99_std,MB/s_median,MB/s_q1,MB/s_q3,MB/s_std,trials,Readers,Writers
Latency (1:1),RsIpc_zerocopy,intel_i5_10400f,1.1273640011495445,1.1178213726452668,1.1336367515468737,0.011286155606578056,1.2305121307872469,1.2257776236219797,1.2553009120892966,0.14790199530252982,3991.589262356863,3961.727367009864,4019.8545501219214,40.455966611774016,10,1,1
Latency (1:1),RsIpc_copy,intel_i5_10400f,0.8705310010554967,0.805700999990222,0.9277433755414677,0.07011970248971783,1.063717021388585,1.047952402441297,1.1692546964877695,0.09562244720465382,5299.464218486892,4848.65716568193,5743.761400667087,481.04357130591467,10,1,1
Latency (1:1),MpQueue,intel_i5_10400f,4.004570499091642,3.888432249368634,4.118995000681025,0.16540356772078013,4.203607571944303,4.035714750298212,4.244756697298726,0.2987857743860822,727.6574370630931,714.5604124118557,744.1039621020489,25.078751254753044,10,1,1
Latency (1:1),MpPipe,intel_i5_10400f,3.6290457519498887,3.4762488730848418,3.693380373988475,0.158533584975556,4.149719876913878,3.857102860165469,4.179821404268296,0.19419685487746738,789.2138507378008,784.8004937008176,824.9629805692484,30.510339756444477,10,1,1
Latency (1:1),MpShm,intel_i5_10400f,1.2191774985694792,1.2145557484473102,1.2295129981794162,0.011718496382806963,1.3307214927408495,1.3173851513238333,1.3445107473671671,0.022281988215747006,3790.466390869512,3777.8920660226922,3818.6140319886026,33.47416377680288,10,1,1
Latency (1:1),ZeroMQ,intel_i5_10400f,3.939316749892896,3.7335586248445907,4.287690872843086,0.4661942018458827,6.024457707135299,5.975407852329228,6.346089585895243,0.2945986274516693,1931.0859541449993,1820.2495325251812,2011.8768010112226,149.29738335704604,10,1,1
Latency (1:1),PosixIpc,intel_i5_10400f,0.975094500972773,0.9359232508359128,0.9946496238626423,0.055891109177927986,1.225547541325796,1.1424835380239529,1.5416073840424434,0.21863663025865315,4412.147943764322,4288.066033757966,4491.069891630356,152.76593792949456,10,1,1
Scalability (1:10),RsIpc_zerocopy,intel_i5_10400f,3.6943893750503776,3.6886452128783276,3.7113475261321582,0.01679863918742977,3.864322707569954,3.853457658604384,3.8682758281665883,0.01739982290146244,1329.4500126923635,1327.8137159325088,1336.205054753008,7.552811300400147,10,10,1
Scalability (1:10),RsIpc_copy,intel_i5_10400f,9.517787173899706,9.487332850858365,9.54886725085089,0.07342918569415702,9.683805010005017,9.61095456975454,9.920669123188418,1.0788876777163228,536.3205090593392,531.6344216160458,541.015229390497,8.43526686855701,10,10,1
Scalability (1:10),MpQueue,intel_i5_10400f,32.48144762565062,32.0205045005423,32.96391162484724,0.7991478050981873,49.82759151422943,49.568778998214846,51.203343462328135,0.9918074661888531,95.50130360905177,95.07940677048498,96.28698359190635,0.821126624435197,10,10,1
Scalability (1:10),MpPipe,intel_i5_10400f,18.793389374150138,18.71955349979544,18.904017724344158,0.1995386320367251,21.862517377292534,21.71737820076123,21.95992222851055,0.3550079145255268,78.40948855248963,78.08690052876273,79.12438726244521,0.7642437921378498,10,10,1
Scalability (1:10),MpShm,intel_i5_10400f,10.975328100357729,10.943297623816761,11.00385366280534,0.04415191421006692,13.113414811668918,13.083896419562734,13.144988557583929,0.12269483973256856,395.26680704304727,394.6316885989104,396.08592791096976,0.9204180882044433,10,10,1
Scalability (1:10),ZeroMQ,intel_i5_10400f,18.715356374741532,18.627065236523777,18.95271528792364,0.3069409591366011,39.78716183208964,39.496630695883155,39.9900558803529,0.47945123475214796,243.43127949482601,239.28004092974305,244.671316734734,5.937498613123907,10,10,1
Scalability (1:10),PosixIpc,intel_i5_10400f,8.932374399591936,8.846912674835039,8.999409837360872,0.12937519807089065,11.239504568980923,11.170443429695297,11.484511040032885,0.21141650240863682,440.99513270091535,437.0895599579039,444.49316411799106,5.811173638101494,10,10,1
