Scenario,Backend,Trial,p50,p99,MB/s,Readers,Writers,Machine
Latency (1:1),RsIpc_zerocopy,0,0.8443300000067211,0.8974323199333867,5873.30118444492,1,1,workstation
Latency (1:1),RsIpc_zerocopy,1,0.8423699999866585,0.8956205000094997,5910.548264182703,1,1,workstation
Latency (1:1),RsIpc_zerocopy,2,0.8839289999968969,0.9466436000025169,5673.183756599955,1,1,workstation
Latency (1:1),RsIpc_zerocopy,3,0.8204550000527888,3.6525885000105522,6060.953769699911,1,1,workstation
Latency (1:1),RsIpc_zerocopy,4,0.8267050000085874,0.9148475900781255,6209.498760517,1,1,workstation
Latency (1:1),RsIpc_zerocopy,5,0.8286550000207171,1.0484857899541575,6121.223602239527,1,1,workstation
Latency (1:1),RsIpc_zerocopy,6,0.8275250000338019,0.9468726900036021,6207.524713262339,1,1,workstation
Latency (1:1),RsIpc_zerocopy,7,0.8565295000266815,0.9068503900186897,5848.639951334209,1,1,workstation
Latency (1:1),RsIpc_zerocopy,8,0.7988854999894102,0.8485403100087296,6239.953803798181,1,1,workstation
Latency (1:1),RsIpc_zerocopy,9,0.8590895000111232,0.9125299999550407,5783.346611377129,1,1,workstation
Latency (1:1),RsIpc_copy,0,0.19279250000181491,0.2588158800131185,22039.391527533062,1,1,workstation
Latency (1:1),RsIpc_copy,1,0.19066299995529334,0.20485469997083783,22053.365134219544,1,1,workstation
Latency (1:1),RsIpc_copy,2,0.19239299996343107,0.21966090003843436,21871.36902871531,1,1,workstation
Latency (1:1),RsIpc_copy,3,0.19075800003065524,0.2038987900346001,23137.372289947925,1,1,workstation
Latency (1:1),RsIpc_copy,4,0.19121799999766154,0.21137780002391085,21924.053364222964,1,1,workstation
Latency (1:1),RsIpc_copy,5,0.18898299998681978,0.20329210001250433,22473.275619594257,1,1,workstation
Latency (1:1),RsIpc_copy,6,0.1929329999939,0.21644679997166355,22306.586783578616,1,1,workstation
Latency (1:1),RsIpc_copy,7,0.19111249997649793,0.21970331003217328,22248.76528121114,1,1,workstation
Latency (1:1),RsIpc_copy,8,0.18879800001059266,0.20601339001927957,22465.550426377948,1,1,workstation
Latency (1:1),RsIpc_copy,9,0.18921249994718892,0.202477999993107,22445.460523613743,1,1,workstation
Latency (1:1),MpQueue,0,1.2991689999353184,1.8987193999873855,2314.0250421949213,1,1,workstation
Latency (1:1),MpQueue,1,1.6923144999623219,3.570665099978227,2010.5922081859055,1,1,workstation
Latency (1:1),MpQueue,2,1.3071784999851843,1.903011269973833,2305.0515951936077,1,1,workstation
Latency (1:1),MpQueue,3,1.7388040000128058,2.0625967899354696,1987.2799237107154,1,1,workstation
Latency (1:1),MpQueue,4,1.3031739999860292,1.82840039998041,2309.451817841526,1,1,workstation
Latency (1:1),MpQueue,5,1.2975035000408752,1.8260460899489317,2326.7996471998767,1,1,workstation
Latency (1:1),MpQueue,6,1.6959940000447205,2.2665187600114316,1995.9278274992746,1,1,workstation
Latency (1:1),MpQueue,7,1.7467880000481273,1.9577834900053408,1987.6488632747414,1,1,workstation
Latency (1:1),MpQueue,8,1.7484024999703252,2.2874878400091445,1962.8846295864055,1,1,workstation
Latency (1:1),MpQueue,9,1.7527629999563032,1.9454979099862157,1973.3446789177444,1,1,workstation
Latency (1:1),MpPipe,0,0.669406499980596,0.7730953100065108,4052.3961552620485,1,1,workstation
Latency (1:1),MpPipe,1,0.6732415000101355,1.038105560040779,4032.30924641715,1,1,workstation
Latency (1:1),MpPipe,2,0.6813515000203552,0.7725380000533733,4048.5251605022872,1,1,workstation
Latency (1:1),MpPipe,3,0.680856500025584,1.878393959946154,3875.0452935937833,1,1,workstation
Latency (1:1),MpPipe,4,0.689755999985664,1.2044901800072707,3997.1083892278875,1,1,workstation
Latency (1:1),MpPipe,5,0.7003415000212954,1.0352822500533452,3950.1000015974987,1,1,workstation
Latency (1:1),MpPipe,6,0.6853319999891028,1.03799057004949,3960.236560835768,1,1,workstation
Latency (1:1),MpPipe,7,0.6807010000215996,1.0249923400351721,3994.8803564055524,1,1,workstation
Latency (1:1),MpPipe,8,0.6716770000707584,0.7745870000439936,4047.2529966436095,1,1,workstation
Latency (1:1),MpPipe,9,0.6910314999686307,1.0729323599639455,3975.8875227057974,1,1,workstation
Latency (1:1),MpShm,0,0.8200690000421673,0.8880929900010417,6212.199932234301,1,1,workstation
Latency (1:1),MpShm,1,0.8782085000120787,1.013969079994014,5820.2530053722,1,1,workstation
Latency (1:1),MpShm,2,0.830699500056653,1.0408958900291063,6178.320643306032,1,1,workstation
Latency (1:1),MpShm,3,0.854689499988126,0.9028449000118145,5832.101952825721,1,1,workstation
Latency (1:1),MpShm,4,0.7934644999636475,0.8507186999986516,6219.8657731489275,1,1,workstation
Latency (1:1),MpShm,5,0.805885000033868,0.8554581000294093,6169.3604089095,1,1,workstation
Latency (1:1),MpShm,6,0.7905499999765198,0.8580210999980409,6215.854973370719,1,1,workstation
Latency (1:1),MpShm,7,0.8440539999128305,0.9020006000559988,5849.87480332565,1,1,workstation
Latency (1:1),MpShm,8,0.8170244999519127,0.8689594000111356,6045.564481226643,1,1,workstation
Latency (1:1),MpShm,9,0.8463690000439783,0.9043675900113612,5829.011549303492,1,1,workstation
Latency (1:1),ZeroMQ,0,1.661308499990355,2.009568790072087,6012.143705151445,1,1,workstation
Latency (1:1),ZeroMQ,1,1.6895930000373482,2.6873549200127247,6004.335401286637,1,1,workstation
Latency (1:1),ZeroMQ,2,1.677643000050466,1.8723329599924925,6161.057837250479,1,1,workstation
Latency (1:1),ZeroMQ,3,1.6767589999631127,1.9467603099713011,6022.62260221969,1,1,workstation
Latency (1:1),ZeroMQ,4,1.677293499994903,2.6024235200168575,5935.888737741656,1,1,workstation
Latency (1:1),ZeroMQ,5,1.5646199999537203,2.3152799300226206,6254.067534341868,1,1,workstation
Latency (1:1),ZeroMQ,6,1.558720000048197,2.49181864999744,6291.609179810487,1,1,workstation
Latency (1:1),ZeroMQ,7,1.6063940000208277,2.4786716399421715,6371.320283329903,1,1,workstation
Latency (1:1),ZeroMQ,8,1.7232775000479705,2.739784540038976,5995.169247161481,1,1,workstation
Latency (1:1),ZeroMQ,9,1.70774700001175,2.617911130048492,5833.744056575986,1,1,workstation
Latency (1:1),PosixIpc,0,0.2409620000207724,0.4716728999812858,15070.81251003715,1,1,workstation
Latency (1:1),PosixIpc,1,0.24711149995937376,0.6703843100569942,14470.012995055304,1,1,workstation
Latency (1:1),PosixIpc,2,0.2429714999721,0.3877185999738231,14716.435197586246,1,1,workstation
Latency (1:1),PosixIpc,3,0.32136600003696003,0.39702510001461633,12195.817026841642,1,1,workstation
Latency (1:1),PosixIpc,4,0.2382569999781481,0.36630660000469106,15050.837957912801,1,1,workstation
Latency (1:1),PosixIpc,5,0.2416265000420026,0.36768969999457113,13921.961694820766,1,1,workstation
Latency (1:1),PosixIpc,6,0.24087150001150803,0.36879920002547806,15097.59471722988,1,1,workstation
Latency (1:1),PosixIpc,7,0.2412514999718951,0.3927082000302562,14977.660200724578,1,1,workstation
Latency (1:1),PosixIpc,8,0.276091499983977,0.44914169997582576,12749.191812325906,1,1,workstation
