Scenario,Backend,Trial,p50,p99,MB/s,Readers,Writers,Machine
Scalability (1:10),RsIpc_copy,3,9.561364950059215,12.767891498493563,521.9354589474596,10,1,intel_i5_10400f
Scalability (1:10),RsIpc_copy,4,9.55345440088422,11.405022272694636,523.6160144901894,10,1,intel_i5_10400f
Scalability (1:10),RsIpc_copy,5,9.49919650083757,9.981820789791527,533.805291162527,10,1,intel_i5_10400f
Scalability (1:10),RsIpc_copy,6,9.582393799428246,9.73721412337909,530.9107984338854,10,1,intel_i5_10400f
Scalability (1:10),RsIpc_copy,7,9.527876397987711,9.633733802947972,538.1260657444656,10,1,intel_i5_10400f
Scalability (1:10),RsIpc_copy,8,9.483378300865297,9.733876217062061,541.9782839391742,10,1,intel_i5_10400f
Scalability (1:10),RsIpc_copy,9,9.346132199061685,9.46786040594452,547.1306994637362,10,1,intel_i5_10400f
Scalability (1:10),MpQueue,0,32.221964900236344,49.490640488671495,97.33421006858954,10,1,intel_i5_10400f
Scalability (1:10),MpQueue,1,31.85210264964553,51.92290073225742,96.4517463383359,10,1,intel_i5_10400f
Scalability (1:10),MpQueue,2,32.74762490073044,49.19234378900002,96.4372536647047,10,1,intel_i5_10400f
Scalability (1:10),MpQueue,3,33.54948715095816,49.76089310566749,95.83617337351131,10,1,intel_i5_10400f
Scalability (1:10),MpQueue,4,33.03600719955284,49.66016012865294,95.06654081245617,10,1,intel_i5_10400f
Scalability (1:10),MpQueue,5,31.956878050914383,51.017729658909964,95.8075950813609,10,1,intel_i5_10400f
Scalability (1:10),MpQueue,6,32.74093035106489,49.89428992279137,95.00853754300348,10,1,intel_i5_10400f
Scalability (1:10),MpQueue,7,32.211383849426056,49.53831862140215,94.8133442981256,10,1,intel_i5_10400f
Scalability (1:10),MpQueue,8,31.66335895039083,51.26521473013419,95.11800464457139,10,1,intel_i5_10400f
Scalability (1:10),MpQueue,9,34.172444750220166,51.50495802469233,95.19501213674266,10,1,intel_i5_10400f
Scalability (1:10),MpPipe,0,18.70945034934266,21.713839239571826,79.12014285672419,10,1,intel_i5_10400f
Scalability (1:10),MpPipe,1,18.916469499163213,21.53638963373669,78.3724717381544,10,1,intel_i5_10400f
Scalability (1:10),MpPipe,2,19.319355651168735,22.626513833369245,77.10616406386949,10,1,intel_i5_10400f
