Scenario,Backend,Trial,p50,p99,MB/s,Readers,Writers,Machine
Latency (1:1),RsIpc_zerocopy,0,0.7970710003064596,0.8469049009909213,6222.309377419996,1,1,amd_ryzen7_7700_nothp
Latency (1:1),RsIpc_zerocopy,1,0.7978404992172727,0.8519086995511316,6219.399008925027,1,1,amd_ryzen7_7700_nothp
Latency (1:1),RsIpc_zerocopy,2,0.8309210006700596,0.8535625898730359,6167.490273456962,1,1,amd_ryzen7_7700_nothp
Latency (1:1),RsIpc_zerocopy,3,0.7957110001370893,0.8539497995298007,6224.8133172145945,1,1,amd_ryzen7_7700_nothp
Latency (1:1),RsIpc_zerocopy,4,0.7937205000416725,0.8466829997996684,6286.1808355322555,1,1,amd_ryzen7_7700_nothp
Latency (1:1),RsIpc_zerocopy,5,0.7977405002748128,0.8509136990505795,6218.960403879457,1,1,amd_ryzen7_7700_nothp
Latency (1:1),RsIpc_zerocopy,6,0.7948905004013795,0.8456301993101079,6251.5894411568215,1,1,amd_ryzen7_7700_nothp
Latency (1:1),RsIpc_zerocopy,7,0.7924410001578508,0.8444568000959407,6286.8703056363875,1,1,amd_ryzen7_7700_nothp
Latency (1:1),RsIpc_zerocopy,8,0.7962409990796004,0.8442374906371697,6235.846420913508,1,1,amd_ryzen7_7700_nothp
Latency (1:1),RsIpc_zerocopy,9,0.8285010007966775,0.9125536900864982,6198.6998904097545,1,1,amd_ryzen7_7700_nothp
Latency (1:1),RsIpc_copy,0,0.19246899955760455,0.21405819923529634,21679.792959677245,1,1,amd_ryzen7_7700_nothp
Latency (1:1),RsIpc_copy,1,0.19071400038228603,0.21033660048487945,21419.47684094237,1,1,amd_ryzen7_7700_nothp
Latency (1:1),RsIpc_copy,2,0.1920140002766857,0.2615395901921167,21387.942865441575,1,1,amd_ryzen7_7700_nothp
Latency (1:1),RsIpc_copy,3,0.19043900101678446,0.21656869977960014,21625.153547032078,1,1,amd_ryzen7_7700_nothp
Latency (1:1),RsIpc_copy,4,0.19070399866905063,0.21375860087573537,21613.879361644424,1,1,amd_ryzen7_7700_nothp
Latency (1:1),RsIpc_copy,5,0.19033399985346477,0.2048487985848624,21601.609012348916,1,1,amd_ryzen7_7700_nothp
Latency (1:1),RsIpc_copy,6,0.19131400040350854,0.2022116007174191,21679.116496762646,1,1,amd_ryzen7_7700_nothp
Latency (1:1),RsIpc_copy,7,0.19560399960028008,0.22011139910318891,21213.64784082751,1,1,amd_ryzen7_7700_nothp
Latency (1:1),RsIpc_copy,8,0.19061900002270704,0.2005567999003688,21880.288612207096,1,1,amd_ryzen7_7700_nothp
Latency (1:1),RsIpc_copy,9,0.19135399907099782,0.20493679956416602,21678.002517263772,1,1,amd_ryzen7_7700_nothp
Latency (1:1),MpQueue,0,1.7361060008624918,1.995649510918156,1983.4311745528394,1,1,amd_ryzen7_7700_nothp
Latency (1:1),MpQueue,1,1.6882064992387313,2.0931223001753096,2024.7791131139138,1,1,amd_ryzen7_7700_nothp
Latency (1:1),MpQueue,2,1.7228510005224962,1.9825018998017188,1995.5243870648446,1,1,amd_ryzen7_7700_nothp
Latency (1:1),MpQueue,3,1.677721499618201,1.9567353004094918,2038.885003923395,1,1,amd_ryzen7_7700_nothp
Latency (1:1),MpQueue,4,1.745671000207949,2.036105599654548,1965.0660294070312,1,1,amd_ryzen7_7700_nothp
Latency (1:1),MpQueue,5,1.731141000163916,1.9516440998086184,1994.4637176108795,1,1,amd_ryzen7_7700_nothp
Latency (1:1),MpQueue,6,1.7438059994674404,2.067617100019561,1965.8933975256282,1,1,amd_ryzen7_7700_nothp
Latency (1:1),MpQueue,7,1.8367454995313892,2.076831310223497,1903.994426543136,1,1,amd_ryzen7_7700_nothp
Latency (1:1),MpQueue,8,1.8080005002047983,1.9754786098019395,1966.5561414297529,1,1,amd_ryzen7_7700_nothp
