Scenario,Backend,Machine,p50_median,p50_q1,p50_q3,p50_std,p99_median,p99_q1,p99_q3,p99_std,MB/s_median,MB/s_q1,MB/s_q3,MB/s_std,trials,Readers,Writers
Latency (1:1),RsIpc_zerocopy,laptop_amd_9_5900HX,1.2118057500174473,1.1987068749945706,1.2200995000100079,0.027561987497261863,1.2935545950034566,1.2708639650210785,1.332186414982175,0.18637932953145195,4304.686635185813,4280.105924470103,4331.440753353113,80.16469990307716,10,1,1
Latency (1:1),RsIpc_copy,laptop_amd_9_5900HX,0.7454692499777593,0.6816443750068402,0.7703135000127759,0.055897356419186105,0.8289383799959182,0.7685658349997483,0.8748116625199038,0.1764922326680299,7264.601366424731,7084.758818871442,7473.168174759383,247.94167205426888,10,1,1
Latency (1:1),MpQueue,laptop_amd_9_5900HX,2.4509284999822967,2.4306843749997142,2.8579193750246645,0.26947262631225805,3.486942090003141,3.416029145015501,3.538913652486571,0.1759196406875293,1300.5879557804487,1218.0114181974195,1306.2127606154481,69.88193463145636,10,1,1
Latency (1:1),MpPipe,laptop_amd_9_5900HX,1.3760774999838077,1.3407968750200894,1.5466838750057832,0.1365109324838949,2.1600944449932107,1.9118417249953277,2.9042263649972733,0.5594043168727217,2181.576939438934,2017.3635458849876,2256.649054512802,141.21848353312706,10,1,1
Latency (1:1),MpShm,laptop_amd_9_5900HX,1.4420724999979484,1.4171923749941584,1.475495875006061,0.03653317315043947,1.5624870299862437,1.5176205474898552,1.604523759985881,0.07808866525884757,3661.615832969954,3602.9568793783396,3754.3243291523913,87.143228771385,10,1,1
Latency (1:1),ZeroMQ,laptop_amd_9_5900HX,4.645073749998119,4.570336624993843,4.822332499990978,0.29138268013616153,6.797703725006556,6.763172995006816,6.9800769175164215,0.37332309229070093,1885.1756190928409,1589.0126164084238,1918.2303764649519,302.4207318840361,10,1,1
Latency (1:1),PosixIpc,laptop_amd_9_5900HX,0.8375499999999647,0.8112596249958415,0.8478856250064837,0.041308186403166594,0.9365768149777409,0.9249018574796253,0.9910337075189092,0.06406513260638123,5126.398702538267,5032.497092742776,5165.584861326834,147.49002897792784,10,1,1
Scalability (1:10),RsIpc_zerocopy,laptop_amd_9_5900HX,6.687851025000668,6.662059374988871,6.74667182500599,0.1452774751884089,7.082944558490283,7.039375854749153,7.104619345243492,0.12427176444777722,744.8860427306588,736.6974719394238,755.4156361632851,14.308087231276815,10,10,1
Scalability (1:10),RsIpc_copy,laptop_amd_9_5900HX,15.326181225003666,15.275552287502592,15.364290975007577,0.09081523525596052,15.948240832507736,15.886142753754982,16.115093918756216,0.21780838090051804,334.69940055679444,333.6192196416757,336.2768474560445,1.6368624259383504,10,10,1
Scalability (1:10),MpQueue,laptop_amd_9_5900HX,21.713379325009896,21.26534205001036,21.965084050000883,0.4378318309594141,33.649136584496034,32.97303358200327,34.195171147738996,0.6898243936611252,153.29241886394112,152.36117484285407,154.27036942764306,1.3140154256194245,10,10,1
Scalability (1:10),MpPipe,laptop_amd_9_5900HX,7.298609049985316,7.231626875001496,7.4342150625113845,0.15776796143454952,8.2434087340024,8.049064334257826,8.682261503260104,0.3553451842085061,210.499579020069,207.24948163402797,212.83104261236923,4.655976843541228,10,10,1
