Scenario,Backend,Trial,p50,p99,MB/s,Readers,Writers,Machine
Latency (1:1),MpQueue,8,2.797182500017925,3.495913970012907,1223.2862638471097,1,1,laptop_amd_9_5900HX
Latency (1:1),MpQueue,9,2.9267520000360037,3.4820677900148667,1174.4320151409577,1,1,laptop_amd_9_5900HX
Latency (1:1),MpPipe,0,1.3522895000050994,1.8699529099842545,2262.7503265600117,1,1,laptop_amd_9_5900HX
Latency (1:1),MpPipe,1,1.6589365000072576,1.9073358099836937,1938.726530427875,1,1,laptop_amd_9_5900HX
Latency (1:1),MpPipe,2,1.314674000013838,2.387480699987356,2266.4384307966125,1,1,laptop_amd_9_5900HX
Latency (1:1),MpPipe,3,1.3283549999982824,1.9327081899990655,2302.8654186354993,1,1,laptop_amd_9_5900HX
Latency (1:1),MpPipe,4,1.372502999970493,3.130359499978681,2121.726682805145,1,1,laptop_amd_9_5900HX
Latency (1:1),MpPipe,5,1.5964000000110445,1.7894112599975642,1982.5758335782684,1,1,laptop_amd_9_5900HX
Latency (1:1),MpPipe,6,1.336966000025086,3.056280970002377,2238.3452383711733,1,1,laptop_amd_9_5900HX
Latency (1:1),MpPipe,7,1.3796519999971224,2.448062549981961,2200.1996829523728,1,1,laptop_amd_9_5900HX
Latency (1:1),MpPipe,8,1.3975354999899992,3.126540679991195,2162.9541959254952,1,1,laptop_amd_9_5900HX
Latency (1:1),MpPipe,9,1.6372469999907935,1.9253594700302301,1933.9282905853586,1,1,laptop_amd_9_5900HX
Latency (1:1),MpShm,0,1.4762535000159005,1.5740797000097475,3596.7268504264957,1,1,laptop_amd_9_5900HX
Latency (1:1),MpShm,1,1.4130794999971386,1.5054838900113057,3759.1068624068816,1,1,laptop_amd_9_5900HX
Latency (1:1),MpShm,2,1.4532554999959757,1.6035477099870834,3629.076987023708,1,1,laptop_amd_9_5900HX
Latency (1:1),MpShm,3,1.3905325000393987,1.50924240001018,3806.652545420259,1,1,laptop_amd_9_5900HX
Latency (1:1),MpShm,4,1.401889499987874,1.5101211399900194,3775.3955184435595,1,1,laptop_amd_9_5900HX
Latency (1:1),MpShm,5,1.4902800000129446,1.7518415000006373,3566.3391510992924,1,1,laptop_amd_9_5900HX
Latency (1:1),MpShm,6,1.4732229999765423,1.6048491099854802,3615.8003633811363,1,1,laptop_amd_9_5900HX
Latency (1:1),MpShm,7,1.429530999985218,1.5401187699893628,3739.9767293889213,1,1,laptop_amd_9_5900HX
Latency (1:1),MpShm,8,1.4878809999743225,1.6592012400326441,3598.675718044074,1,1,laptop_amd_9_5900HX
Latency (1:1),MpShm,9,1.430889499999921,1.55089435996274,3694.1546789162003,1,1,laptop_amd_9_5900HX
