Scenario,Backend,Machine,p50_median,p50_q1,p50_q3,p50_std,p99_median,p99_q1,p99_q3,p99_std,MB/s_median,MB/s_q1,MB/s_q3,MB/s_std,trials,Readers,Writers
Latency (1:1),RsIpc_zerocopy,workstation,0.8355125000036878,0.826910000014891,0.8534796250216914,0.02383268299841644,0.9136887950165831,0.8997868374547124,0.9468154175033308,0.864351256162866,5985.751016941307,5854.805259611887,6185.949435506636,200.87041499090247,10,1,1
Latency (1:1),RsIpc_copy,workstation,0.19093525000357658,0.18957512494921502,0.19209924997198868,0.0015313535617370734,0.2086955950215952,0.20413776751865953,0.21885737502174166,0.01692628644257789,22277.676032394877,22042.884929204683,22460.527950686897,370.6054541377926,10,1,1
Latency (1:1),MpQueue,workstation,1.6941542500035212,1.304175124985818,1.744792000039297,0.2216851254190066,1.9516406999957783,1.8997923674839974,2.215538267492441,0.5238188762560718,2003.26001784259,1987.3721586017218,2308.3517621795463,169.69366604718434,10,1,1
Latency (1:1),MpPipe,workstation,0.6811040000229696,0.6751063750130015,0.6886499999865237,0.00962149508802253,1.0366364100514176,0.8371883350417882,1.0642256599831539,0.32317994730705646,3995.99437281672,3964.1493013032755,4043.517059086995,56.01445075621848,10,1,1
Latency (1:1),MpShm,workstation,0.8253842500494102,0.8086698750133792,0.8457902500111913,0.028093489540162116,0.8950467950285202,0.8607556750013146,0.9039869175114745,0.06618478605821469,6107.462445068071,5836.545165450703,6203.730110002234,182.8554638099463,10,1,1
Latency (1:1),ZeroMQ,workstation,1.6770262499790078,1.6201226250132095,1.6866055000406277,0.05769672300982094,2.485245144969806,2.0859965750597205,2.6140392275405833,0.32299134872179697,6017.383153685567,5997.46078569277,6230.815110069021,172.58562680634273,10,1,1
Latency (1:1),PosixIpc,workstation,0.24181175001558586,0.24103437500855307,0.24607649996255532,0.026330304347055467,0.39215509498205847,0.3735290500125643,0.4361125499855234,0.0926020253711381,14746.12855524799,14058.9745198794,15032.543518615745,1035.8815917188426,10,1,1
Scalability (1:10),RsIpc_zerocopy,workstation,1.9301225750012918,1.9010132000104818,1.9554099624798482,0.046488204052192436,2.192297444477049,2.179937643008117,2.196723479271128,0.021256002316522825,2544.5980091501933,2529.5832822305983,2583.039856220775,42.63165364160757,10,10,1
Scalability (1:10),RsIpc_copy,workstation,2.59555210001281,2.5928237000030663,2.602142687497633,0.014070872782357541,2.788829716003818,2.7432791465040225,2.8315295117636197,0.09024947723511693,1856.5252959825639,1854.1196381025575,1863.4918541756201,9.924057663492595,10,10,1
Scalability (1:10),MpQueue,workstation,10.132988525009523,10.04701724999535,10.323072474990624,0.20458151633837546,14.54190613400448,14.375902297244181,14.913735930237127,0.31412805223834916,344.52390901123454,344.24308798092926,350.8441724210471,5.730908964470079,10,10,1
Scalability (1:10),MpPipe,workstation,4.264503224993632,4.231745775000206,4.280025999999282,0.03165369296043492,4.792021796996721,4.7656227059804905,4.865192906269215,0.10321736181648883,344.7851697367651,343.3425334751243,346.8032493697206,3.246466934029286,10,10,1
Scalability (1:10),MpShm,workstation,8.438739800004669,8.389274949990977,8.606091587509468,0.15385592111422672,10.049112332992706,9.951863531267579,10.602035058758762,0.6028297801487605,548.0989026303135,536.1114224334675,551.5759998364666,10.474029445928057,10,10,1
Scalability (1:10),ZeroMQ,workstation,10.872012050009516,10.732278575017062,11.191595875004623,0.43380575532027926,23.4144205144923,23.209981686749757,23.536400212989243,0.49726224865871843,371.6989613539989,367.91061874041424,383.06966011956877,16.241058884531064,10,10,1
